mol_smiles	conductivity
COC(CNC(=O)[Au])C(=O)N(C)CCO[Cu]	0
CCC(CC(C)CO[Cu])NC(=O)[Au]	0
O=C([Au])OCCCOCCCO[Cu]	1
CCN(CC)CCNCC(CO[Cu])OC(=O)[Au]	1
C=CC(C)(OC(=O)[Au])C(=O)NC(C)CO[Cu]	0
CCC(C)C(=O)N(C)CC(COC(=O)[Au])O[Cu]	0
C=C(CO[Cu])C(=O)NCCCOC(=O)[Au]	1
CCCC(CCO[Cu])CNC(=O)CNC(=O)[Au]	0
CN(CCCN(C)CCOC(=O)[Au])CCO[Cu]	1
CNC(=O)CCNC(CO[Cu])COC(=O)[Au]	0
CN(CCCO[Cu])CCOCCOC(=O)[Au]	1
CC(NCC(C)(C)CCOC(=O)[Au])C(C)O[Cu]	0
CSCCN(C)CC(CO[Cu])OC(=O)[Au]	1
CCOCCN(CCCOC(=O)[Au])CCO[Cu]	1
COCNC(=S)NCC(CO[Cu])OC(=O)[Au]	0
CC(CCOC(=O)[Au])NCCOCCO[Cu]	1
C=CC(OC(=O)[Au])C(=O)NCC(F)(F)CO[Cu]	0
C=C(COC(=O)[Au])C(=O)NCC(COC)O[Cu]	0
CC(NCC=CCOC(=O)[Au])C(C)O[Cu]	0
CCOCC(CNCC=CCO[Cu])OC(=O)[Au]	1
CC(CNC(=O)C(=O)O)(CO[Cu])COC(=O)[Au]	0
CC(CCNC(=O)C(C)(C)O[Cu])OC(=O)[Au]	0
CC(CCCNC(C)C(C)O[Cu])COC(=O)[Au]	0
COCC(CO[Cu])OC(=O)[Au]	1
CCCCNC(=O)C(OC(=O)[Au])C(C)(C)O[Cu]	0
O=C([Au])OCCCCCCO[Cu]	1
CC(C)N(CCCO[Cu])CCNC(=O)[Au]	1
NOCCNCC(COC(=O)[Au])O[Cu]	1
CCCCCC(CO[Cu])COC(=O)[Au]	0
CCCC(CNCC(F)(F)COC(=O)[Au])O[Cu]	0
COCC(CN(C)CCCO[Cu])OC(=O)[Au]	1
CC(N[Cu])C(=O)NCCN(C)CCNC(=O)[Au]	0
CC(C)(CCCO[Cu])OC(=O)[Au]	0
O=C([Au])NCCOCC(=O)NCCN[Cu]	1
C=CC(O[Cu])C(C=C)OC(=O)[Au]	0
CCN(CC(N)=O)CC(OC(=O)[Au])C(C)O[Cu]	1
CN(CC(C)(C)CNC(=O)[Au])C(=O)CN[Cu]	0
CCCC(N[Cu])C(OC(=O)[Au])C(=O)O	0
O=C([Au])OCCCCCCCO[Cu]	1
CCC(COC)NC(=O)C(CNC(=O)[Au])N[Cu]	0
CC(CCCCOC(=O)[Au])NCCCCO[Cu]	1
COCCNC(=O)NC(CO[Cu])COC(=O)[Au]	1
CCC(=O)NC(C)(CO[Cu])COC(=O)[Au]	0
O=C(COCCO[Cu])NCC(CF)OC(=O)[Au]	1
COCCOCCNC(CO[Cu])COC(=O)[Au]	1
CC(C)C(CO[Cu])NC(=O)CCCNC(=O)[Au]	0
CN(CCOC(=O)[Au])CO[Cu]	1
CC(CCO[Cu])NCCCCCOC(=O)[Au]	1
COC(=O)C(CNCCCOC(=O)[Au])O[Cu]	0
CC(C)C(CCC(OC(=O)[Au])C(C)C)O[Cu]	0
O=C([Au])OCCCCCCCCO[Cu]	1
CC(C)(CCNC(=O)NCCN[Cu])NC(=O)[Au]	0
NC(=O)CSCC(CO[Cu])OC(=O)[Au]	1
CCN(CCCCO[Cu])CCOC(=O)[Au]	1
CC(C)C(CCN(C)CCNC(=O)[Au])N[Cu]	0
O=C([Au])OCCSCCSCCO[Cu]	1
CCC(CNCC(C)(C)O[Cu])OC(=O)[Au]	0
C=CCC(CO[Cu])NC(=O)C(=C)COC(=O)[Au]	0
CC(CCO[Cu])NC(C)CCOC(=O)[Au]	0
C=CC(CO[Cu])NCCCC(C)OC(=O)[Au]	0
O=C([Au])OCCOCCOCCCN[Cu]	1
O=C([Au])NCCN(CCF)CCO[Cu]	1
CC(CO[Cu])OCC(C)OC(=O)[Au]	1
CCC(O[Cu])C(=O)OCCCOC(=O)[Au]	0
CCCC(CNCC(C)O[Cu])OC(=O)[Au]	0
C#CCN(CC#C)CC(COC(=O)[Au])O[Cu]	1
O=C([Au])OCCN(CCO[Cu])CC(F)F	1
CCCC(OC(=O)[Au])C(=O)NC(C)CN[Cu]	0
CON(C)C(=O)CC(CNC(=O)[Au])O[Cu]	1
C=CCN(C)CC(COC(=O)[Au])O[Cu]	1
COCCN(CCCCOC(=O)[Au])CCO[Cu]	1
N#CCCOCCNC(CO[Cu])COC(=O)[Au]	1
C=C(CO[Cu])COC(=O)[Au]	1
