,sample_id,mol_smiles,conductivity
2794,9661,CCN(CCNC(=O)[Au])C(=O)COCCN[Cu],7.05182966836587e-05
5028,9663,CC(C)(C)C(CC(=O)NCCNC(=O)[Au])N[Cu],6.07251028915834e-05
5957,9665,CC(C)(OC(=O)[Au])C(=O)NCCCCO[Cu],7.37223836556282e-05
1871,9667,CC(C)OCCCNCC(CO[Cu])OC(=O)[Au],6.80525205819625e-05
3255,9668,CC(OC(=O)[Au])C(=O)NC(C)(C)CCO[Cu],4.11092884956377e-05
4890,9669,CN(CC(COC(=O)[Au])O[Cu])C(=O)CCCF,2.57299953789536e-05
2168,9671,CCN(CCN[Cu])C(=O)C(C)(C)CNC(=O)[Au],6.319255239504599e-05
4530,9676,CCN(CCO[Cu])C(=O)C(C)(C)COC(=O)[Au],4.98915647384566e-05
95,9677,CCN(C(=O)CO[Cu])C(C)COC(=O)[Au],2.26714258053881e-05
2390,9680,C[Si](C)(C)CNCC(COC(=O)[Au])O[Cu],2.36319585318561e-05
109,9681,CCC(N[Cu])C(=O)NC(C)CNC(=O)[Au],5.89708977121664e-05
4012,9683,CC(=CCCC(C)CCO[Cu])COC(=O)[Au],5.579243742325461e-05
5486,9684,CCC(C)CNC(CN[Cu])CNC(=O)[Au],8.900105811766171e-05
883,9686,CC(CCOC(=O)[Au])NC(=O)C(O[Cu])C(C)C,5.12520842962388e-05
1311,9690,CCN(CC(O[Cu])C(C)OC(=O)[Au])C(C)C,2.9325316468251203e-05
4315,9692,CC(C)CNC(=O)C(OC(=O)[Au])C(C)(C)O[Cu],2.2621035591968103e-05
1975,9693,CC(CNC(=O)C(N[Cu])C(C)(C)C)NC(=O)[Au],7.599642097639309e-05
1050,9694,CC(CNC(=O)N(C)CC(C)NC(=O)[Au])N[Cu],4.04672187974695e-05
3470,9697,COCCN(CCO[Cu])CC(C)(C)NC(=O)[Au],7.69849696756202e-05
213,9698,CN(CC(C)(C)CNC(=O)[Au])C(=O)CN[Cu],3.5486897352381894e-05
2126,9699,CC(C)(CCNC(=O)CCN[Cu])NC(=O)[Au],5.697067760930121e-05
2898,9700,CC(NC(=O)[Au])C(=O)NC(CO[Cu])C(C)(C)C,3.89036171308105e-05
4045,9701,CCC(C)(C#CCO[Cu])OC(=O)[Au],5.03405676078181e-05
992,9703,CCC(CCOC(=O)[Au])CNC(=O)C(C)O[Cu],4.62549516725128e-05
5056,9704,CCC(CNC(=O)C(C)C(C)N[Cu])NC(=O)[Au],3.90117981762e-05
5860,9706,CC(C)(OC(=O)[Au])C(N[Cu])C(=O)NCC(F)F,3.36772784745482e-05
1818,9712,CC(CN[Cu])CNC(=O)C(C)C(C)NC(=O)[Au],5.8066438897913296e-05
3598,9713,COCC(COC(=O)[Au])NC(C)CCO[Cu],0.0001222705644973
129,9716,CC(C)(CC(=O)NCCCO[Cu])OC(=O)[Au],6.65563389719801e-05
3355,9717,CN(CCN[Cu])C(=O)C(C)(C)CNC(=O)[Au],2.7197887611752687e-05
4301,9718,CC(CC(C)NC(=O)C(C)CN[Cu])NC(=O)[Au],3.5546243472486104e-05
475,9721,CC(CO[Cu])NC(C)COC(=O)[Au],0.0001227412081183
389,9723,CCCNC(=O)N(C)CC(CO[Cu])OC(=O)[Au],5.5966969060310206e-05
1148,9724,COCCCCCNC(CN[Cu])CNC(=O)[Au],0.0001505528632201
5970,9725,CC(CNC(=O)C(OC(=O)[Au])C(C)(C)C)O[Cu],5.40393526067363e-05
5511,9728,CC(CC(=O)NCC(NC(=O)[Au])C(C)C)N[Cu],3.0776628073704805e-05
5572,9729,CC(CNC(=O)[Au])(CC(=O)O)O[Cu],6.70627421425375e-05
5220,9731,CCC(CC)(CNC(=O)CO[Cu])OC(=O)[Au],3.43797262609143e-05
3397,9735,CC(CCCOC(=O)[Au])CNC(=O)C(C)N[Cu],2.74558694384956e-05
2642,9736,CCC(C)(OC(=O)[Au])C(=O)NC(C)CO[Cu],5.47685582825492e-05
1803,9738,CN(C)CC(C)(C)NCC(CO[Cu])OC(=O)[Au],9.79227149712622e-05
2866,9740,CC(OC(=O)[Au])C(=O)NCC(C)(O[Cu])C(C)C,4.69469326608849e-05
4077,9742,CC(C)CNC(CN[Cu])CNC(=O)[Au],6.62907626712664e-05
1883,9745,CCCCCCC(CC(C)OC(=O)[Au])O[Cu],3.17495673781221e-05
1725,9747,CCC(CC)(CNC(=O)[Au])NC(=O)CCN[Cu],5.6450652385388905e-05
2606,9750,CCCN(CC(C)(C)O[Cu])C(=O)COC(=O)[Au],3.77214858866287e-05
4140,9753,CCC(N[Cu])C(NC(=O)[Au])C(=O)OC,3.09002182370023e-05
4879,9754,CC(C)(CCO[Cu])COC(=O)[Au],3.2589042261721e-05
4452,9755,CC(CN[Cu])CNC(=O)CC(C)(C)NC(=O)[Au],4.20819067182882e-05
4125,9761,CC(CNCC(C)(C)OCCOC(=O)[Au])O[Cu],0.0001519623870269
3626,9764,CC(CNC(=O)[Au])N(C)CCCN[Cu],7.742138134041701e-05
3550,9766,CCCC(O[Cu])C(=O)N(C)CCCOC(=O)[Au],4.08758329478841e-05
5465,9768,CCC(N[Cu])C(=O)NCC(F)(F)CNC(=O)[Au],4.96478874345104e-05
1326,9777,CCC(CO[Cu])SCCC(C)(C)OC(=O)[Au],3.51588877077187e-05
986,9779,C=C(C)CCN(CCOC(=O)[Au])CC(C)O[Cu],5.27681397395092e-05
2224,9780,COCC(C)(C)NCC(OC(=O)[Au])C(C)O[Cu],3.92752262897728e-05
5956,9781,CCCCOC(=O)C(CN[Cu])NC(=O)[Au],3.6878194851086e-05
2128,9799,COCC(CN(C)CC(C)(C)NC(=O)[Au])O[Cu],6.8063698516348e-05
4264,9806,CCCN(CC)CC(O[Cu])C(C)OC(=O)[Au],5.11609336484234e-05
3937,9811,CCCCC(CN[Cu])NC(=O)CCNC(=O)[Au],3.3606988837832203e-05
4731,9812,CCC(CC)C(CCO[Cu])NC(=O)[Au],2.50525036873133e-05
4813,9817,CC(C)N(C)C(=O)C(CCCNC(=O)[Au])N[Cu],9.224655512157428e-05
3162,9826,C=CCCCC(N[Cu])C(=O)N(C)CCNC(=O)[Au],3.5341734451558896e-05
5078,9828,CC(C)(CCNC(=O)CCCNC(=O)[Au])N[Cu],3.9367133691692e-05
4653,9837,CC(CC(C)(C)NC(=O)[Au])N[Cu],4.0980798769863e-05
2584,9838,C=CCCC(C)N(CCNC(=O)[Au])CCO[Cu],9.88119622917231e-05
3732,9858,CC(CCCC#N)NCC(CO[Cu])OC(=O)[Au],0.0001022671811897
594,10522,C#CCCCNC(=O)C(CCCN[Cu])NC(=O)[Au],9.10975265427885e-05
6011,13123,NC(=O)C(COC(=O)[Au])NC(=O)CO[Cu],6.87954602261855e-05
4029,13148,CC(C)(CC(N)=O)NCC(COC(=O)[Au])O[Cu],7.39707119140049e-05
2550,13189,COC(=O)CN(CCNC(=O)[Au])CCO[Cu],0.0001531174098848
